,ORIGIN,id,xcoord,ycoord
1,ANC,US1AKAB0052,-3096396.5764146800,3465022.3678118600
2,JNU,US1AKJB0011,-2383212.0081439700,2769899.2331004500
3,MOB,US1ALMB0035,743754.8074517260,-733670.8467478570
4,MOB,US1ALMB0071,738836.1903587520,-733114.5647483400
5,FLG,US1AZCN0033,-1409880.1879588000,-144331.2011052130
6,FLG,US1AZCN0058,-1408997.5057022800,-146179.7747605650
7,FLG,US1AZCN0061,-1408693.8670850600,-145345.4505424930
8,FLG,US1AZCN0075,-1409726.7660709900,-143959.6901455060
9,FLG,US1AZCN0113,-1410160.0436486800,-145021.9884281930
10,FLG,US1AZCN0134,-1410127.5174652300,-144936.6495069020
11,SNA,US1CAOR0015,-1998534.3885548100,-199522.4132841790
12,SNA,US1CAOR0025,-1994007.4927560500,-201925.0598026760
13,SBA,US1CASB0011,-2146989.6080055800,-70960.9024901716
14,EGE,US1COEG0029,-930040.5324432130,290900.2976181430
15,EGE,US1COEG0044,-929514.6318297430,294110.9716326880
16,EGE,US1COEG0047,-925303.3617350960,292101.6232985570
17,COS,US1COEP0180,-750248.0036667650,177510.0048053180
18,GJT,US1COME0052,-1072627.5750173300,252752.8802297090
19,GJT,US1COME0067,-1071098.2880904000,248909.1250926170
20,GJT,US1COME0118,-1066148.8650387200,249667.1851865880
21,GJT,US1COME0125,-1068921.5335864200,248439.7341042770
22,MLB,US1FLBV0006,1506950.7499858300,-922314.6638414070
23,FLL,US1FLBW0016,1591553.5589663700,-1133092.9658197900
24,FLL,US1FLBW0110,1590236.9423413700,-1142245.1493891000
25,JAX,US1FLDV0091,1364872.4355287600,-680812.4052110630
26,PNS,US1FLES0026,845188.7627320170,-746483.0396056510
27,TPA,US1FLHB0115,1320985.8564995000,-965886.7533442450
28,SAV,US1GACT0001,1379176.2543222300,-494198.3701800960
29,SAV,US1GACT0028,1388636.7537325100,-493187.0529480710
30,VLD,US1GALW0017,1210684.3337955400,-666915.3141328790
31,LIH,US1HIKI0002,-6207602.5381681900,433433.0705349480
32,CID,US1IAJH0014,355042.4432775420,495203.5987468970
33,BOI,US1IDAD0019,-1609444.5529687600,851257.4132426170
34,BOI,US1IDAD0030,-1610618.9687334200,851419.1773723830
35,BOI,US1IDAD0037,-1610812.1074741000,852545.4262559400
36,MDW,US1ILCK0100,678196.3346215250,513732.5038669500
37,CMI,US1ILCP0049,655130.8274706250,314205.2767859780
38,CMI,US1ILCP0050,650999.7065236090,311597.6383975970
39,CMI,US1ILCP0062,652990.7382411400,315379.4587615860
40,CMI,US1ILCP0082,654074.1533799910,315614.0304422890
41,CMI,US1ILCP0093,653501.9171188770,315870.8234811260
42,CMI,US1ILCP0098,649094.1898059750,312600.8438607720
43,CMI,US1ILCP0109,654674.8107469330,313246.1638370500
44,BMI,US1ILMCL013,593388.2885416210,358204.5444363420
45,BMI,US1ILMCL017,593399.2792116070,358396.3166115850
46,BMI,US1ILMCL023,590336.6046988050,358449.5064908390
47,BMI,US1ILMCL040,594402.1552365500,357943.1719012120
48,BMI,US1ILMCL048,592347.1211524600,355094.2542285070
49,MLI,US1ILRI0018,454827.4156105980,460037.2031362030
50,IND,US1INMR0013,824369.7063724760,289516.6071645020
51,IND,US1INMR0063,827574.2863612600,290995.2010264700
52,EVV,US1INVN0011,732763.8834320970,93723.5733189474
53,EVV,US1INVN0030,739305.3944189980,90370.0287452861
54,ICT,US1KSSG0010,-123932.0675176980,21625.0042143345
55,ICT,US1KSSG0076,-124794.7173531280,22355.2945933642
56,ICT,US1KSSG0111,-126131.4365551690,18317.9069047537
57,SDF,US1KYJF0035,886099.0206259280,126047.1075243090
58,MLU,US1LAOC0001,373139.4352463140,-546429.1510514220
59,BOS,US1MASF0002,2023447.0063392600,815009.1063118190
60,BWI,US1MDAA0027,1644951.5192169200,351481.6491613770
61,BWI,US1MDAA0035,1643378.9425258000,359270.9445205600
62,TVC,US1MIGT0016,820538.2695856780,857875.5117359680
63,GRR,US1MIKN0068,845519.1015758370,646840.1905775330
64,MSP,US1MNHN0085,219007.9432850260,832464.7448172700
65,MSP,US1MNHN0155,218763.8725640290,833259.3113354030
66,MSP,US1MNHN0178,219187.0523605700,831735.0802786400
67,MSP,US1MNRM0054,221694.1613727170,831519.3505114530
68,COU,US1MOBN0077,325633.1754909190,149445.6845116280
69,STL,US1MOFSA189,484310.3798454140,153606.8804935120
70,SGF,US1MOGR0113,233931.8233217270,-24817.3594339712
71,GPT,US1MSHR0007,662345.7607787640,-763639.2590312950
72,GPT,US1MSHR0013,666582.5710864170,-767806.6367719370
73,MEI,US1MSLD0009,678666.7331225720,-550178.1442797400
74,JAN,US1MSRN0002,554977.0453021250,-558471.5346895690
75,JAN,US1MSRN0042,554101.2821073850,-562178.7979048530
76,HLN,US1MTLC0014,-1226951.1684598100,1122831.6915284500
77,BIL,US1MTYS0005,-977085.2658963220,992777.1300142150
78,BIL,US1MTYS0008,-974052.3343796530,992328.6338281680
79,BIL,US1MTYS0027,-970970.7246598240,995918.8612789260
80,AVL,US1NCBC0083,1205169.1466690700,-141532.7963995260
81,FAY,US1NCCM0060,1536661.1832989900,-142518.6090197540
82,EWN,US1NCCN0034,1705705.0692869700,-105034.9415972180
83,EWN,US1NCCN0048,1699715.6238399400,-103619.7050944540
84,EWN,US1NCCN0051,1698699.1894234700,-101461.8800690050
85,EWN,US1NCCN0063,1705560.0012723000,-101856.3903830410
86,EWN,US1NCCN0067,1698429.2733396600,-100306.3471236500
87,GSO,US1NCGL0049,1429236.7055381600,-40091.8334715839
88,AVL,US1NCHN0002,1208894.1564606400,-145920.0414691190
89,AVL,US1NCHN0054,1205751.4524514300,-149454.5873554880
90,CLT,US1NCMK0087,1352398.3996192600,-144625.6482683590
91,CLT,US1NCMK0092,1357287.6584550600,-147481.4400981360
92,ILM,US1NCNH0063,1648624.8296836400,-204482.9230116980
93,BIS,US1NDBH0043,-359858.1477952370,1042349.9885513100
94,FAR,US1NDCS0004,-59655.0494173652,1051299.0774026300
95,FAR,US1NDCS0025,-59634.6387236052,1050988.9628087900
96,FAR,US1NDCS0045,-60674.0562793600,1052967.8953067700
97,FAR,US1NDCS0049,-60785.2411062372,1054308.1441010300
98,TTN,US1NJMC0029,1772879.6837903000,509956.6284049220
99,TTN,US1NJMC0042,1772110.0471778500,505612.0149831420
100,TTN,US1NJMC0047,1767522.2459373900,512625.0636321020
101,ABQ,US1NMBR0082,-957588.0658225240,-218436.0939956580
102,ABQ,US1NMBR0123,-956245.1464306020,-218958.1131180150
103,ABQ,US1NMBR0197,-956979.8065906940,-219179.8316257630
104,LAS,US1NVCK0018,-1702094.5936341500,10946.6981757812
105,RNO,US1NVWH0130,-2006889.8723039600,479095.3519007470
106,RNO,US1NVWH0138,-2006493.8865705200,478924.6308343750
107,RNO,US1NVWH0144,-2000584.6070949500,473136.0666034080
108,RNO,US1NVWH0145,-2007976.0806593600,476088.0019230420
109,RNO,US1NVWH0147,-2005409.7223402700,471707.0788270450
110,BUF,US1NYER0007,1396706.4824469400,740057.8238494640
111,BUF,US1NYER0079,1396533.0116827000,733380.3543586620
112,BUF,US1NYER0102,1394768.9030479900,736509.2228896510
113,BUF,US1NYER0122,1389816.8515628000,734850.7316164970
114,IAG,US1NYNG0022,1377141.2940261500,749388.7278850260
115,LGA,US1NYQN0026,1834834.6967074400,579129.0702019840
116,ISP,US1NYSF0024,1893756.9575372700,598379.3778455990
117,ISP,US1NYSF0059,1897438.3684697700,596757.3835900210
118,OGS,US1NYSL0010,1610203.9230764100,978790.6904841270
119,ITH,US1NYTM0023,1588074.1799944600,724470.9986803810
120,CLE,US1OHCY0038,1170774.8837096300,521467.8190844560
121,CLE,US1OHCY0044,1171122.4624668700,523568.7440108030
122,MFR,US1ORJC0075,-2169108.2645568500,849925.8437039870
123,EUG,US1ORLA0112,-2146059.4725919300,1049701.5155803800
124,PDX,US1ORMT0105,-2050483.0789754800,1188671.1166241300
125,PIT,US1PAAL0030,1320517.0143469800,446833.7208099890
126,SCE,US1PACN0003,1512162.0113952400,515667.1546879140
127,SCE,US1PACN0005,1505495.2379026700,515462.2238181120
128,MDT,US1PADP0014,1611607.3682231500,470193.8767145950
129,AVP,US1PALZ0015,1666975.3063640200,609398.8933103740
130,ABE,US1PANH0012,1714678.3131509600,539216.2652420970
131,MDT,US1PAYR0008,1611828.3472919000,461810.2514957430
132,PVD,US1RIKN0018,2004525.0536024800,733321.6094006280
133,PVD,US1RIPR0057,2002494.4547512600,736095.3224692610
134,CHS,US1SCCR0034,1473417.9951064600,-387305.3253454150
135,CHS,US1SCCR0049,1478357.3242879600,-390689.9985023010
136,CHS,US1SCCR0078,1481796.4081617200,-390445.3296552750
137,MYR,US1SCHR0073,1561539.9630730900,-291114.3290651460
138,CAE,US1SCLX0064,1364043.2458271300,-291006.2747194570
139,GSP,US1SCSP0077,1244742.2177229400,-198089.5458667970
140,SAT,US1TXBXR011,-239996.3981466610,-881667.0314895470
141,SAT,US1TXBXR143,-239580.3596934340,-890637.7833672850
142,SAT,US1TXBXR229,-236404.7930911830,-887859.0655764270
143,SAT,US1TXBXR368,-238050.6593749040,-882127.8907476490
144,CLL,US1TXBZS096,-31420.1858957509,-770263.7779354260
145,CLL,US1TXBZS099,-38166.7978899152,-768304.4687090090
146,CLL,US1TXBZS100,-35524.9506011417,-775215.4112725050
147,CLL,US1TXBZS103,-31163.6881102106,-770798.0238513310
148,HRL,US1TXCMR085,-169895.7188654700,-1255471.8650641900
149,ELP,US1TXEP0051,-973649.2812251630,-587247.5400460370
150,ELP,US1TXEP0079,-975850.4229956960,-586468.9276304380
151,HOU,US1TXHRR032,72039.0249129630,-880644.3112314350
152,ACT,US1TXMCL021,-112750.4622272050,-660473.8051111340
153,SJT,US1TXTG0034,-425243.7769384800,-674869.1017035940
154,ABI,US1TXTY0024,-344277.2992484530,-562895.8599778450
155,LRD,US1TXWB0002,-345138.6560933080,-1106681.7229652700
156,LRD,US1TXWB0012,-345566.7055781260,-1101015.6471641600
157,LRD,US1TXWB0018,-346258.7990094920,-1102016.6459352600
158,LRD,US1TXWB0027,-344233.3225465180,-1101207.9269725300
159,ORF,US1VANRC005,1731756.8901753800,111123.0987911290
160,PHF,US1VAYR0014,1707780.8875097300,137234.3565314590
161,PHF,US1VAYR0018,1707012.4344837400,138333.2025439320
162,BTV,US1VTCH0040,1798685.9300004800,999924.2174776720
163,MSN,US1WIDA0035,535729.2832748200,652318.5401466870
164,MSN,US1WIDA0037,536411.7086720380,648705.1988197950
165,MSN,US1WIDA0052,538339.6830307880,646668.1004188000
166,MSN,US1WIDA0056,540203.6970730550,648321.8189787100
167,MKE,US1WIMW0042,659998.4088313020,639611.2672785950
168,MKE,US1WIMW0050,652710.7372582300,638360.7979115340
169,RHI,US1WION0004,513271.4903940130,926931.9803554300
170,CRW,US1WVKN0027,1245964.3809827700,193931.1427779470
171,HSV,USC00017674,841993.9682512630,-279423.8901073510
172,GJT,USC00053486,-1069771.4504155300,252136.3163759210
173,TLH,USC00088756,1114138.4192626500,-725093.3544750240
174,BOI,USC00101024,-1613102.1405108400,851578.1716868030
175,IND,USC00124260,824386.6112715170,289518.3420911540
176,DSM,USC00132201,193959.3917744040,454979.5964515060
177,DBQ,USC00132362,430584.0788629610,561757.9746362390
178,SUX,USC00137702,-30903.8683484444,548519.1030266250
179,ICT,USC00148847,-126104.5423594900,18362.3335258284
180,PAH,USC00158555,635984.9670332010,-24181.2838845456
181,SHV,USC00168448,201811.8013534930,-562399.0311636980
182,MQT,USC00204425,664579.4247216040,1017319.1316570400
183,GRR,USC00206013,847418.9853326700,650658.1094079870
184,MBS,USC00207221,955830.2297812430,731165.1366029480
185,DLH,USC00212250,290166.9925921200,1048614.6168314900
186,BGM,USC00300684,1629398.9181864000,700018.8889050000
187,PBG,USC00306660,1766679.3107232100,1015155.1499882500
188,EWN,USC00316676,1699549.2257951100,-104075.6084132190
189,BIS,USC00320818,-364751.5641004110,1044766.8262545700
190,ISN,USC00329421,-572176.6244414040,1210894.1468111500
191,RDM,USC00357050,-1978772.5048172000,1019910.0903608200
192,PIT,USC00365918,1319600.0559813400,449610.2743752860
193,PHL,USC00366880,1746709.3642780300,456874.2126997400
194,FSD,USC00397666,-58690.9084926007,681773.8273126050
195,CRP,USC00412011,-149001.6408970300,-1082019.0393069600
196,ORF,USC00446147,1733474.8539353800,110466.4583646950
197,GRB,USC00473268,625052.3600234950,809030.0242305460
198,RHI,USC00477118,513708.0551739950,925937.6641406900
199,ONT,USW00003102,-1962192.2739103600,-161579.4670657710
200,GGG,USW00003901,120569.9482298020,-571310.4916718160
201,RHI,USW00004803,509338.4470928020,926593.2347954030
202,PGD,USW00012812,1395358.3895279300,-1075185.2022706400
203,MLB,USW00012838,1507456.4829361300,-925600.9541733430
204,PIE,USW00012873,1311196.2457046600,-976707.1384757720
205,RSW,USW00012894,1424992.3334799700,-1113147.1791835400
206,DHN,USW00013839,998510.7082813960,-635083.4468588310
207,KOA,USW00021510,-6072796.6722429600,25834.7134834278
208,BUR,USW00023152,-2025960.5642232900,-129969.3597716280
209,SJC,USW00023293,-2246381.8936006700,292527.9301943170
210,XNA,USW00053922,151301.1735602210,-134967.4701643090
211,PBG,USW00064776,1766916.6288941400,1010435.0000944800
212,ECP,USW00073805,978203.9706318870,-746070.9755737340
213,PSP,USW00093138,-1869767.2285022700,-208512.9186374760
214,SNA,USW00093184,-1995524.1664656900,-196969.4383979840
215,FAY,USW00093740,1541431.3459998100,-141730.8610110860
216,PHF,USW00093741,1704684.5295170700,134322.6193682720
217,GPT,USW00093874,662975.9795052000,-767535.8369092580
218,AZO,USW00094815,854915.2720397560,577419.3058974040
219,CMI,USW00094870,652392.9346397990,311160.1503363610
